heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
blnm_monotona_randomizada,75,50,3,0.8271,2484,124,0.5
blnm_monotona_randomizada,75,50,3,0.7029,2584,123,0.6
blnm_monotona_randomizada,75,50,3,0.2234,1170,139,0.7
blnm_monotona_randomizada,75,50,3,0.1698,1271,143,0.8
blnm_monotona_randomizada,75,50,3,0.1457,2076,161,0.9
blnm_monotona_randomizada,75,50,4,1.9147,3380,100,0.1
blnm_monotona_randomizada,75,50,4,1.1649,2293,128,0.2
blnm_monotona_randomizada,75,50,4,0.9005,1899,117,0.3
blnm_monotona_randomizada,75,50,4,0.5220,1230,122,0.4
blnm_monotona_randomizada,75,50,4,0.6277,1839,137,0.5
blnm_monotona_randomizada,75,50,4,0.3454,1125,146,0.6
blnm_monotona_randomizada,75,50,4,0.2245,1178,149,0.7
blnm_monotona_randomizada,75,50,4,0.2065,1232,169,0.8
blnm_monotona_randomizada,75,50,4,0.1015,1875,172,0.9
blnm_monotona_randomizada,75,50,5,1.3344,2143,100,0.1
blnm_monotona_randomizada,75,50,5,1.1668,2247,103,0.2
blnm_monotona_randomizada,75,50,5,0.6876,1527,100,0.3
blnm_monotona_randomizada,75,50,5,0.8983,2131,100,0.4
blnm_monotona_randomizada,75,50,5,0.3759,1081,114,0.5
blnm_monotona_randomizada,75,50,5,0.3499,1259,124,0.6
blnm_monotona_randomizada,75,50,5,0.2193,1094,140,0.7
blnm_monotona_randomizada,75,50,5,0.1922,1208,134,0.8
blnm_monotona_randomizada,75,50,5,0.0730,1135,155,0.9
blnm_monotona_randomizada,75,50,6,2.3536,3822,96,0.1
blnm_monotona_randomizada,75,50,6,1.8537,2977,96,0.2
blnm_monotona_randomizada,75,50,6,1.1378,2438,96,0.3
blnm_monotona_randomizada,75,50,6,0.5036,1266,103,0.4
blnm_monotona_randomizada,75,50,6,0.4712,1521,104,0.5
blnm_monotona_randomizada,75,50,6,0.3223,1260,110,0.6
blnm_monotona_randomizada,75,50,6,0.3148,1531,128,0.7
blnm_monotona_randomizada,75,50,6,0.2521,1949,145,0.8
blnm_monotona_randomizada,75,50,6,0.1010,1657,153,0.9
blnm_monotona_randomizada,75,50,7,1.9831,3219,100,0.1
blnm_monotona_randomizada,75,50,7,1.8024,3555,106,0.2
blnm_monotona_randomizada,75,50,7,0.6720,1790,116,0.3
blnm_monotona_randomizada,75,50,7,0.4851,1496,118,0.4
